cpd00290_c,D_fructose_1_6_bisphosphate
cpd00134_c,Palmitoyl_CoA
cpd00208_c,LACT
cpd00797_c,R_3_Hydroxybutanoate
cpd11523_c,5_methyl_trans_hex_2_enoyl_ACP
cpd00070_c,Malonyl_CoA
cpd00043_c,UDP_galactose
cpd11439_c,fa4coa
cpd01217_c,Xanthosine
cpd00119_c,L_Histidine
cpd00033_c,Glycine
cpd00101_c,ribose_5_phosphate
cpd11514_c,12_methyl_trans_tetra_dec_2_enoyl_ACP
cpd09818_c,Naphthyl_2_methyl_succinic_acid
cpd15606_c,Gly_Tyr
cpd11590_c,met_L_ala_L
cpd15604_c,Gly_Leu
cpd00437_c,D_Tagaturonate
cpd03117_c,3_Oxododecanoyl_CoA
cpd00072_c,D_fructose_6_phosphate
cpd03488_c,Undecaprenyl_diphospho_N_acetylmuramoyl_N_acetylglucosamine_L_alanyl_D_glutaminyl_L_lysyl_D_alanyl_D_alanine
cpd11562_c,12_methyl_3_oxo_tridecanoyl_ACP
cpd00183_c,Sarcosine
cpd00227_c,L_Homoserine
cpd15542_c,Phosphatidylglycerophosphate_didodecanoyl
cpd00076_c,Sucrose
cpd15422_c,CDP_1_2_ditetradec_7_enoylglycerol
cpd00258_c,D_Ribulose
cpd02172_c,Solanesyl_diphosphate
cpd11534_c,11_methyl_3_hydroxy_dodecanoyl_ACP
cpd11437_c,fa3coa
cpd00515_c,5_Dehydro_4_deoxy_D_glucarate
cpd00200_c,4MOP
cpd03606_c,2_Oxo_3_hydroxy_4_phosphobutanoate
cpd10515_c,Fe2
cpd01777_c,Phosphoribosyl_AMP
cpd03115_c,S_3_Hydroxytetradecanoyl_CoA
cpd11536_c,11_methyl_dodecanoyl_ACP
cpd15662_c,Prenol_45n_teichoic_acid_glucose_substituted
cpd15546_c,Phosphatidylglycerophosphate_dihexadec_9_enoyl
cpd15585_c,beta_Methylglucoside
cpd00475_c,Ribose_1_phosphate
cpd11433_c,fa12
cpd11476_c,hexadecanoyl_acp
cpd00223_c,Glycerate
cpd00221_c,D_Lactate
cpd00144_c,UDPglucuronate
cpd12237_c,Peptide_L_methionine
cpd00774_c,UroporphyrinogenIII
cpd14699_c,S_3_Methylbutanoyl_dihydrolipoamide_E
cpd11532_c,9_methyl_decanoyl_ACP
cpd11435_c,fa1coa
cpd00042_c,GSH
cpd00897_c,CDP_4_dehydro_6_deoxy_D_glucose
cpd00861_c,UDP_N_acetyl_D_mannosamine
cpd04918_c,D_Glycero_D_manno_heptose7_phosphate
cpd11539_c,13_methyl_trans_tetra_dec_2_enoyl_ACP
cpd11592_c,gly_glu_L
cpd00056_c,TPP
cpd00093_c,Anthranilate
cpd00448_c,D_Glyceraldehyde
cpd00891_c,L_methylmalonyl_CoA
cpd00863_c,beta_D_Glucose_6_phosphate
cpd11557_c,8_methyl_nonanoyl_ACP
cpd11513_c,12_methyl_3_hydroxy_tetra_decanoyl_ACP
cpd11559_c,10_methyl_3_hydroxy_undecanoyl_ACP
cpd14698_c,3_Methyl_1_hydroxybutyl_TPP
cpd11555_c,8_methyl_3_hydroxy_nonanoyl_ACP
cpd15603_c,Gly_Cys
cpd03279_c,Deoxyinosine
cpd15237_c,hexadecenoate
cpd00052_c,CTP
cpd15686_c,CDP_1_2_diisopentadecanoylglycerol
cpd00286_c,Undecaprenylphosphate
cpd11474_c,Decanoyl_ACP
cpd03113_c,S_3_Hydroxyhexadecanoyl_CoA
cpd00908_c,Glycerophosphoethanolamine
cpd00430_c,PACT
cpd00683_c,Dihydropteroate
cpd00054_c,L_Serine
cpd00091_c,UMP
cpd15684_c,CDP_1_2_dianteisoheptadecanoylglycerol
cpd12115_c,Arabinan
cpd00638_c,Deamido_NAD
cpd00050_c,FMN
cpd11431_c,fa11
cpd00282_c,S_Dihydroorotate
cpd00906_c,all_trans_Hexaprenyl_diphosphate
cpd00037_c,UDP_N_acetylglucosamine
cpd15770_c,Isopentadecanoyllipoteichoic_acid_n24__linked__N_acetyl_D_glucosamine
cpd00434_c,4_Aminobutanal
cpd11511_c,10_methyl_dodecanoyl_ACP
cpd00477_c,N_Acetyl_L_glutamate
cpd00654_c,Deoxycytidine
cpd15239_c,Hexadecenoyl_ACP
cpd15680_c,1_2_diisopentadecanoyl_sn_glycerol_3_phosphate
cpd11440_c,fa6
cpd00035_c,L_Alanine
cpd15544_c,Phosphatidylglycerophosphate_ditetradec_7_enoyl
cpd02484_c,Inositol_3_phosphate
cpd00383_c,Shikimate
cpd15767_c,Isoheptadecanoyllipoteichoic_acid_n24__linked__N_acetyl_D_glucosamine
cpd03130_c,2E_Octenoyl_CoA
cpd00533_c,dCDP
cpd00650_c,Crotonyl_CoA
cpd01017_c,Cys_Gly
cpd03480_c,2_Hydroxyphenylacetate
cpd00581_c,Urocanate
cpd15682_c,1_2_diisohexadecanoyl_sn_glycerol_3_phosphate
cpd00031_c,GDP
cpd15548_c,Phosphatidylglycerophosphate_dioctadec_11_enoyl
cpd15772_c,Isohexadecanoyllipoteichoic_acid_n24__linked__N_acetyl_D_glucosamine
cpd00438_c,Deoxyadenosine
cpd15751_c,Isotetradecanoyllipoteichoic_acid_n24__linked__unsubstituted
cpd15747_c,Myristoyllipoteichoic_acid_n24__linked__unsubstituted
cpd00483_c,3_Hydroxyanthranilate
cpd03698_c,Salicin_6P
cpd03666_c,2_5_Diamino_6_5_triphosphoryl_3_4_trihydroxy_2_oxopentyl__amino_4_oxopyrimidine
cpd00095_c,Glycerone_phosphate
cpd11549_c,4_methyl_pentanoyl_ACP
cpd00079_c,D_glucose_6_phosphate
cpd15526_c,1_2_dioctadecanoyl_sn_glycerol_3_phosphate
cpd15718_c,Diisotetradecanoylphosphatidylglycerophosphate
cpd15524_c,1_2_dihexadecanoyl_sn_glycerol_3_phosphate
cpd00314_c,D_Mannitol
cpd03198_c,Melibiose
cpd00481_c,Isobutyryl_CoA
cpd00014_c,UDP
cpd03607_c,4_Phosphonooxy_threonine
cpd11570_c,3_Oxooctodecanoyl_ACP
cpd01501_c,2_Methylcitrate
cpd02642_c,N_5_phosphoribosyl_anthranilate
cpd11830_c,S_Aminomethyldihydrolipoylprotein
cpd02201_c,4_phosphopantothenate
cpd01260_c,Lauroyl_CoA
cpd11479_c,D_3_Hydroxyhexanoyl_acp
cpd11572_c,trans_Octodec_2_enoyl_ACP
cpd11517_c,14_methyl_3_hydroxy_hexa_decanoyl_ACP
cpd01831_c,4_Imidazoleacetate
cpd00206_c,dCMP
cpd15688_c,CDP_1_2_diisohexadecanoylglycerol
cpd11553_c,6_methyl_heptanoyl_ACP
cpd11509_c,10_methyl_3_hydroxy_dodecanoyl_ACP
cpd00334_c,L_Lactaldehyde
cpd11492_c,Malonyl_acyl_carrierprotein_
cpd00019_c,S_Adenosyl_homocysteine
cpd02187_c,Methacrylyl_CoA
cpd00098_c,Choline
cpd00412_c,Deoxyuridine
cpd00156_c,L_Valine
cpd15765_c,Myristoyllipoteichoic_acid_n24__linked__N_acetyl_D_glucosamine
cpd00171_c,D_Ribulose5_phosphate
cpd03560_c,Propionyladenylate
cpd12370_c,apo_ACP
cpd02611_c,N_Acetyl_D_glucosamine1_phosphate
cpd11490_c,3_oxooctanoyl_acp
cpd01092_c,Allantoin
cpd15421_c,CDP_1_2_dioctadecanoylglycerol
cpd00790_c,O_Acetyl_L_homoserine
cpd00338_c,5_Aminolevulinate
cpd11542_c,15_methyl_3_hydroxy_hexa_decanoyl_ACP
cpd00289_c,Geranylgeranyl_diphosphate
cpd00158_c,CELB
cpd00177_c,dADP
cpd15749_c,Isoheptadecanoyllipoteichoic_acid_n24__linked__unsubstituted
cpd00175_c,UDP_N_acetyl_D_galactosamine
cpd15352_c,2_Demethylmenaquinone_8
cpd03918_c,Adenosyl_cobinamide
cpd00738_c,phosphoserine
cpd00038_c,GTP
cpd01647_c,2_Phenylacetamide
cpd15761_c,Isopentadecanoyllipoteichoic_acid_n24__linked__glucose_substituted
cpd00357_c,TTP
cpd11438_c,fa4
cpd00809_c,O_Phospho_L_homoserine
cpd00868_c,p_hydroxyphenylpyruvate
cpd00137_c,Citrate
cpd15500_c,Menaquinone_8
cpd00279_c,Acetoacetyl_CoA
cpd01775_c,Phosphoribosyl_ATP
cpd00355_c,Nicotinamide_ribonucleotide
cpd00135_c,Homocysteine
cpd11538_c,13_methyl_3_hydroxy_tetra_decanoyl_ACP
cpd00109_c,Cytochrome_c3
cpd00073_c,Urea
cpd11515_c,12_methyl_tetra_decanoyl_ACP
cpd08316_c,D_Glycero_D_manno_heptose1_7_bisphosphate
cpd03161_c,Phenethylamine
cpd11493_c,ACP
cpd15748_c,Stearoyllipoteichoic_acid_n24__linked__unsubstituted
cpd00071_c,Acetaldehyde
cpd03487_c,Undecaprenyl_diphospho_N_acetylmuramoyl_N_acetylglucosamine_L_alanyl_D_glutamyl_L_lysyl_D_alanyl_D_alanine
cpd09819_c,Naphthyl_2_methyl_succinyl_CoA
cpd00118_c,Putrescine
cpd11500_c,6_methyl_3_oxo_octanoyl_ACP
cpd15666_c,Peptidoglycan_polymer_n_1_subunits
cpd00115_c,dATP
cpd15277_c,Palmitoyl_ACP
cpd00268_c,H2S2O3
cpd00152_c,Agmatine
cpd11495_c,2_methylbutyryl_ACP
cpd01693_c,6_Phosphosucrose
cpd00277_c,Deoxyguanosine
cpd00478_c,Pyridoxine_phosphate
cpd00117_c,D_Alanine
cpd02893_c,5_Phosphoribosyl_4_carboxy_5_aminoimidazole
cpd02030_c,3_phosphoshikimate
cpd15423_c,CDP_1_2_ditetradecanoylglycerol
cpd11497_c,4_methyl_3_hydroxy_hexanoyl_ACP
cpd11432_c,fa11coa
cpd15522_c,1_2_ditetradecanoyl_sn_glycerol_3_phosphate
cpd11581_c,gly_asn_L
cpd03211_c,15_cis_Phytoene
cpd00202_c,DMAPP
cpd02590_c,all_trans_Heptaprenyl_diphosphate
cpd00804_c,Sorbitol_6_phosphate
cpd11531_c,9_methyl_trans_dec_2_enoyl_ACP
cpd11533_c,11_methyl_3_oxo_dodecanoyl_ACP
cpd11434_c,fa12coa
cpd00259_c,D_Lyxulose
cpd00016_c,Pyridoxal_phosphate
cpd15584_c,alpha_Methyl_D_glucoside
cpd00275_c,L_Kynurenine
cpd00860_c,S_Succinyldihydrolipoamide
cpd02979_c,phosphoribosylformiminoaicar_phosphate
cpd00213_c,Lipoamide
cpd00504_c,LL_2_6_Diaminopimelate
cpd00211_c,Butyrate
cpd00232_c,Neu5Ac
cpd01335_c,Octanoyl_CoA
cpd15329_c,1_octadecanoyl_sn_glycerol_3_phosphate
cpd11473_c,2E_Hexenoyl_acp
cpd11512_c,12_methyl_3_oxo_tetra_decanoyl_ACP
cpd02700_c,S_2_Methylpropionyl_dihydrolipoamide
cpd00358_c,dUTP
cpd15687_c,CDP_1_2_dianteisopentadecanoylglycerol
cpd00055_c,Formaldehyde
cpd00122_c,N_Acetyl_D_glucosamine
cpd15294_c,Tetradecenoyl_ACP
cpd00867_c,Inositol_1_phosphate
cpd15331_c,1_tetradecanoyl_sn_glycerol_3_phosphate
cpd00318_c,Tryptamine
cpd02557_c,Farnesylfarnesylgeraniol
cpd00116_c,Methanol
cpd00236_c,D_Erythrose4_phosphate
cpd00842_c,S_3_Hydroxybutyryl_CoA
cpd15685_c,CDP_1_2_diisotetradecanoylglycerol
cpd00773_c,UDP_MurNAc
cpd00508_c,3MOP
cpd00036_c,Succinate
cpd11825_c,Octadecenoyl_ACP
cpd03002_c,Lipid_A_disaccharide
cpd00378_c,Formamide
cpd00238_c,Sedoheptulose7_phosphate
cpd03646_c,gamma_Glutamyl_3_aminopropiononitrile
cpd15768_c,Anteisoheptadecanoyllipoteichoic_acid_n24__linked__N_acetyl_D_glucosamine
cpd00051_c,L_Arginine
cpd15681_c,1_2_dianteisopentadecanoyl_sn_glycerol_3_phosphate
cpd00053_c,L_Glutamine
cpd11475_c,2E_Decenoyl_acp
cpd00147_c,5_Methylthioadenosine
cpd15720_c,Dianteisopentadecanoylphosphatidylglycerophosphate
cpd11430_c,fa1
cpd00374_c,Tyramine
cpd04242_c,DKH
cpd00219_c,Prephenate
cpd15764_c,Palmitoyllipoteichoic_acid_n24__linked__N_acetyl_D_glucosamine
cpd00390_c,CDP_glucose
cpd00032_c,Oxaloacetate
cpd11519_c,14_methyl_hexa_decanoyl_ACP
cpd00331_c,cis_Aconitate
cpd15746_c,Palmitoyllipoteichoic_acid_n24__linked__unsubstituted
cpd14507_c,Peptide_L_methionine_R_S_oxide
cpd15766_c,Stearoyllipoteichoic_acid_n24__linked__N_acetyl_D_glucosamine
cpd15378_c,4_Hydroxy_benzylalcohol
cpd02535_c,2_3_Dihydroxy_3_methylvalerate
cpd15719_c,Diisopentadecanoylphosphatidylglycerophosphate
cpd02168_c,Prephytoene_diphosphate
cpd00482_c,2_Phospho_D_glycerate
cpd11535_c,11_methyl_trans_dodec_2_enoyl_ACP
cpd00520_c,2_Dehydro_3_deoxy_L_pentonate
cpd02097_c,L_Glutamyl_5_phosphate
cpd00807_c,L_histidinol_phosphate
cpd00388_c,Allantoate
cpd15560_c,Ubiquinone_8
cpd11436_c,fa3
cpd00297_c,dTDP
cpd11499_c,4_methyl_hexanoyl_ACP
cpd00015_c,FAD
cpd02125_c,Tiglyl_CoA
cpd02625_c,3_Hydroxy_L_1_pyrroline_5_carboxylate
cpd02799_c,Methylisocitrate
cpd00755_c,Hydroxymethylbilane
cpd00609_c,D_Glucarate
cpd09844_c,3S_3_Hydroxyadipyl_CoA
cpd03049_c,2_Hydroxyethyl_ThPP
cpd15527_c,1_2_dioctadec_11_enoyl_sn_glycerol_3_phosphate
cpd00900_c,GDP_4_dehydro_D_rhamnose
cpd02948_c,MurAcoyl_L_Ala_D_gamma_Glu_L_Lys_D_Ala_D_Ala_diphospho__undecaprenol
cpd02626_c,1_Pyrroline_4_hydroxy_2_carboxylate
cpd00018_c,AMP
cpd11488_c,Acetoacetyl_ACP
cpd15717_c,Dianteisoheptadecanoylphosphatidylglycerophosphate
cpd11491_c,3_oxotetradecanoyl_acp
cpd03608_c,4_Hydroxy_L_threonine
cpd15353_c,2_Demethylmenaquinol_8
cpd01710_c,2_Isopropylmaleate
cpd11583_c,Ala_Leu
cpd15721_c,Diisohexadecanoylphosphatidylglycerophosphate
cpd01982_c,5_Phosphoribosylamine
cpd00112_c,CMP_N_acetylneuraminate
cpd15762_c,Anteisopentadecanoyllipoteichoic_acid_n24__linked__glucose_substituted
cpd00876_c,3_Hydroxyisobutyrate
cpd00443_c,ABEE
cpd02182_c,R_S_Lactoylglutathione
cpd00130_c,L_Malate
cpd01587_c,5_Methylcytosine
cpd00449_c,Dihydrolipoamide
cpd11587_c,Ala_Gln
cpd15661_c,Prenol_45n_teichoic_acid
cpd14955_c,Lipoyl_AMP
cpd11516_c,14_methyl_3_oxo_hexa_decanoyl_ACP
cpd15760_c,Isotetradecanoyllipoteichoic_acid_n24__linked__glucose_substituted
cpd00198_c,D_Xylulose5_phosphate
cpd11537_c,13_methyl_3_oxo_tetra_decanoyl_ACP
cpd02711_c,2_Keto_3_deoxy_6_phosphogluconate
cpd00608_c,D_Altronate
cpd00397_c,L_Ribulose
cpd00283_c,Geranyldiphosphate
cpd00298_c,dTMP
cpd00356_c,dCTP
cpd03127_c,2E_Tetradecenoyl_CoA
cpd11470_c,Octanoyl_ACP
cpd11567_c,14_methyl_3_hydroxy_pentadecanoyl_ACP
cpd00427_c,L_Arabinonate
cpd11565_c,12_methyl_tridecanoyl_ACP
cpd15716_c,Diisoheptadecanoylphosphatidylglycerophosphate
cpd02140_c,AIR
cpd01947_c,BDOH
cpd03129_c,2E_Decenoyl_CoA
cpd00146_c,Carbamoylphosphate
cpd03123_c,3_Oxohexanoyl_CoA
cpd03128_c,Decanoyl_CoA
cpd15274_c,Octadecenoyl_CoA
cpd00159_c,L_Lactate
cpd00641_c,L_Histidinol
cpd00343_c,N_Carbamoyl_L_aspartate
cpd00808_c,L_ribulose_5_phosphate
cpd03697_c,Arbutin_6P
cpd00781_c,5_Dehydrogluconate
cpd11548_c,4_methyl_trans_pent_2_enoyl_ACP
cpd02857_c,DAHP
cpd11494_c,Acetyl_ACP
cpd00350_c,Farnesyldiphosphate
cpd03125_c,2E_Hexenoyl_CoA
cpd03121_c,3_Oxooctanoyl_CoA
cpd11585_c,L_alanylglycine
cpd01960_c,2_Oxohept_3_enedioate
cpd12227_c,L_Glutamyl_tRNA_Glu
cpd00128_c,Adenine
cpd11569_c,14_methyl_pentadecanoyl_ACP
cpd00982_c,FADH2
cpd00957_c,2_5_Diamino_6_5_phosphoribosylamino_4_pyrimidineone
cpd11496_c,4_methyl_3_oxo_hexanoyl_ACP
cpd01966_c,Dimethylacryloyl_CoA
cpd02229_c,Bactoprenyl_diphosphate
cpd00272_c,GDP_L_fucose
cpd00017_c,S_Adenosyl_L_methionine
cpd00524_c,2_Inosose
cpd11589_c,gly_asp_L
cpd11467_c,2E_Tetradecenoyl_acp
cpd01133_c,Stachyose
cpd15523_c,1_2_ditetradec_7_enoyl_sn_glycerol_3_phosphate
cpd00295_c,dGDP
cpd00162_c,Aminoethanol
cpd00274_c,Citrulline
cpd15665_c,Peptidoglycan_polymer_n_subunits
cpd11472_c,Hexanoyl_ACP
cpd01651_c,L_3_Cyanoalanine
cpd15521_c,1_2_didodecanoyl_sn_glycerol_3_phosphate
cpd00190_c,beta_D_Glucose
cpd03584_c,UDP_3_O_beta_hydroxymyristoyl_D_glucosamine
cpd00106_c,Fumarate
cpd00133_c,Nicotinamide
cpd02552_c,n_acetylglutamyl_phosphate
cpd00340_c,2_5_Dioxopentanoate
cpd00161_c,L_Threonine
cpd11543_c,15_methyl_trans_hexa_dec_2_enoyl_ACP
cpd11524_c,5_methyl_hexanoyl_ACP
cpd00954_c,6_hydroxymethyl_dihydropterin
cpd00540_c,BET
cpd02439_c,2_Dehydro_3_deoxy_D_glucarate
cpd15325_c,1_dodecanoyl_sn_glycerol_3_phosphate
cpd03518_c,Formamidopyrimidine_nucleoside_triphosphate
cpd00113_c,Isopentenyldiphosphate
cpd00509_c,deoxyribose_1_phosphate
cpd00179_c,Maltose
cpd00403_c,D_Mannonate
cpd15545_c,Phosphatidylglycerophosphate_dihexadecanoyl
cpd11522_c,5_methyl_3_hydroxy_hexanoyl_ACP
cpd00100_c,Glycerol
cpd00507_c,Glycerophosphocholine
cpd00359_c,indol
cpd11217_c,1_4_Dihydroxy_2_naphthoyl_CoA
cpd02631_c,DKDI
cpd11507_c,8_methyl_decanoyl_ACP
cpd00311_c,Guanosine
cpd00084_c,L_Cysteine
cpd00235_c,D_mannose_6_phosphate
cpd11544_c,15_methyl_hexa_decanoyl_ACP
cpd00218_c,Niacin
cpd00421_c,Triphosphate
cpd00143_c,Phenylpyruvate
cpd00802_c,D_fructose_1_phosphate
cpd11313_c,hemeO
cpd00080_c,Glycerol_3_phosphate
cpd12225_c,Dihydrolipolprotein
cpd02069_c,3_Phosphonooxypyruvate
cpd01949_c,S_S_2_3_Butanediol
cpd04122_c,Aminoacetaldehyde
cpd02862_c,UDPMurAcoyl_L_Ala_D_gamma_Glu_L_Lys_D_Ala_D_Ala
cpd00141_c,Propionate
cpd01772_c,Succinylbenzoate
cpd00086_c,Propionyl_CoA
cpd02851_c,AICAR
cpd00292_c,HMG_CoA
cpd02065_c,3_Hydroxy_L_kynurenine
cpd15561_c,Ubiquinol_8
cpd11508_c,10_methyl_3_oxo_dodecanoyl_ACP
cpd12543_c,Carboxybiotin_carboxyl_carrier_protein
cpd02021_c,Succinylbenzoyl_CoA
cpd01914_c,L_Methionine_S_oxide
cpd02371_c,D_Tagatose_1_6_biphosphate
cpd00064_c,Ornithine
cpd00066_c,L_Phenylalanine
cpd00296_c,dGMP
cpd00041_c,L_Aspartate
cpd02536_c,Muconolactone
