id	name	formula	charge	aliases
cpd15746	Palmitoyllipoteichoic acid (n=24), linked, unsubstituted	C119H232O135P24	-24	
cpd15755	Palmitoyllipoteichoic acid (n=24), linked, glucose substituted	C263H472O255P24	-24	
cpd00142	Acetoacetate	C4H5O3	-1	
cpd00279	Acetoacetyl-CoA	C25H37N7O18P3S	-3	
cpd00858	L-Glutamate5-semialdehyde	C5H9NO3	0	
cpd02097	L-Glutamyl 5-phosphate	C5H9NO7P	-1	
cpd00093	Anthranilate	C7H6NO2	-1	
cpd00216	Chorismate	C10H8O6	-2	
cpd15681	1,2-dianteisopentadecanoyl-sn-glycerol 3-phosphate	C33H64O8P	-1	
cpd11439	fa4coa	C36H61N7O17P3S	-3	
cpd15675	1-anteisopentadecanoyl-sn-glycerol 3-phosphate	C18H36O7P	-1	
cpd03116	(S)-3-Hydroxydodecanoyl-CoA	C33H55N7O18P3S	-3	
cpd02060	(2E)-Dodecenoyl-CoA	C33H53N7O17P3S	-3	
cpd00201	10-Formyltetrahydrofolate	C20H21N7O7	-2	
cpd00347	5-10-Methenyltetrahydrofolate	C20H20N7O6	-1	
cpd00213	Lipoamide	C8H15NOS2	0	
cpd00092	Uracil	C4H4N2O2	0	
cpd00859	Pseudouridine 5'-phosphate	C9H12N2O9P	-1	
cpd15544	Phosphatidylglycerophosphate ditetradec-7-enoyl	C34H62O13P2	-2	
cpd11580	Gly-Gln	C7H13N3O4	0	
cpd00932	5-O--1-Carboxyvinyl-3-phosphoshikimate	C10H10O10P	-3	
cpd03049	2-Hydroxyethyl-ThPP	C14H21N4O8P2S	-1	
cpd00498	2-Aceto-2-hydroxybutanoate	C6H9O4	-1	
cpd00056	TPP	C12H17N4O7P2S	-1	
cpd00094	2-Oxobutyrate	C4H5O3	-1	
cpd00282	S-Dihydroorotate	C5H5N2O4	-1	
cpd00247	Orotate	C5H3N2O4	-1	
cpd08286	2-C-methyl-D-erythritol4-phosphate	C5H12O7P	-1	
cpd15763	Isohexadecanoyllipoteichoic acid (n=24), linked, glucose substituted	C263H472O255P24	-24	
cpd00524	2-Inosose	C6H10O6	0	
cpd15685	CDP-1,2-diisotetradecanoylglycerol	C40H71N3O15P2	-2	
cpd15679	1,2-diisotetradecanoyl-sn-glycerol 3-phosphate	C31H60O8P	-1	
cpd03471	Nicotinate D-ribonucleoside	C11H13NO6	0	
cpd00355	Nicotinamide ribonucleotide	C11H15N2O8P	0	
cpd02016	N-Ribosylnicotinamide	C11H15N2O5	1	
cpd11481	R-3-hydroxypalmitoyl-acyl-carrierprotein-	C27H51N2O9PRS	-1	
cpd11485	3-oxohexadecanoyl-acp	C27H49N2O9PRS	-1	
cpd00957	2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone	C9H15N5O8P	-1	
cpd15751	Isotetradecanoyllipoteichoic acid (n=24), linked, unsubstituted	C115H224O135P24	-24	
cpd15760	Isotetradecanoyllipoteichoic acid (n=24), linked, glucose substituted	C259H464O255P24	-24	
cpd03494	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2-6-diaminopimeloyl-D-alanyl-D-alanine	C87H139N7O23P2	-4	
cpd03189	3-Carboxy-1-hydroxypropyl-ThPP	C16H22N4O10P2S	-2	
cpd17043	RNA transcription		0	
cpd11587	Ala-Gln	C8H15N3O4	0	
cpd00367	Cytidine	C9H13N3O5	0	
cpd00288	D-Glucosamine phosphate	C6H14NO8P	0	
cpd00322	L-Isoleucine	C6H13NO2	0	
cpd15277	Palmitoyl-ACP	C27H51N2O8PRS	-1	
cpd11431	fa11	C17H33O2	-1	
cpd00028	Heme	C34H30FeN4O4	-2	
cpd11313	hemeO	C49H56FeN4O5	-2	
cpd00249	Uridine	C9H12N2O6	0	
cpd00297	dTDP	C10H14N2O11P2	-2	
cpd02030	3-phosphoshikimate	C7H9O8P	-2	
cpd00836	S-Acetyldihydrolipoamide	C10H19NO2S2	0	
cpd00203	1,3-Bisphospho-D-glycerate	C3H6O10P2	-2	
cpd00137	Citrate	C6H5O7	-3	
cpd00068	ITP	C10H12N4O14P3	-3	
cpd00090	IDP	C10H12N4O11P2	-2	
cpd02964	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2-6-diaminopimelate	C35H51N7O26P2	-4	
cpd00497	XMP	C10H12N4O9P	-1	
cpd15547	Phosphatidylglycerophosphate dioctadecanoyl	C42H82O13P2	-2	
cpd00066	L-Phenylalanine	C9H11NO2	0	
cpd15605	Gly-Phe	C11H14N2O3	0	
cpd00206	dCMP	C9H13N3O7P	-1	
cpd00654	Deoxycytidine	C9H13N3O4	0	
cpd00226	HYXN	C5H4N4O	0	
cpd01710	2-Isopropylmaleate	C7H8O4	-2	
cpd01646	2-Isopropylmalate	C7H10O5	-2	
cpd02147	4-Phosphoerythronate	C4H7O8P	-2	
cpd00349	Sedoheptulose 1,7-bisphosphate	C7H14O13P2	-2	
cpd11562	12-methyl-3-oxo-tridecanoyl-ACP	C25H45N2O9PRS	-1	
cpd11563	12-methyl-3-hydroxy-tridecanoyl-ACP	C25H47N2O9PRS	-1	
cpd00805	D-Tagatose 6-phosphate	C6H12O9P	-1	
cpd02371	D-Tagatose 1,6-biphosphate	C6H12O12P2	-2	
cpd11501	6-methyl-3-hydroxy-octanoyl-ACP	C20H37N2O9PRS	-1	
cpd11500	6-methyl-3-oxo-octanoyl-ACP	C20H35N2O9PRS	-1	
cpd01324	L-Histidinal	C6H10N3O	1	
cpd00119	L-Histidine	C6H9N3O2	0	
cpd15680	1,2-diisopentadecanoyl-sn-glycerol 3-phosphate	C33H64O8P	-1	
cpd15674	1-isopentadecanoyl-sn-glycerol 3-phosphate	C18H36O7P	-1	
cpd01080	ocdca	C18H35O2	-1	
cpd00327	strcoa	C39H67N7O17P3S	-3	
cpd00842	(S)-3-Hydroxybutyryl-CoA	C25H39N7O18P3S	-3	
cpd00650	Crotonyl-CoA	C25H37N7O17P3S	-3	
cpd00076	Sucrose	C12H22O11	0	
cpd00382	Melitose	C18H32O16	0	
cpd11566	14-methyl-3-oxo-pentadecanoyl-ACP	C27H49N2O9PRS	-1	
cpd11567	14-methyl-3-hydroxy-pentadecanoyl-ACP	C27H51N2O9PRS	-1	
cpd00100	Glycerol	C3H8O3	0	
cpd03121	3-Oxooctanoyl-CoA	C29H45N7O18P3S	-3	
cpd03124	Hexanoyl-CoA	C27H43N7O17P3S	-3	
cpd15423	CDP-1,2-ditetradecanoylglycerol	C40H71N3O15P2	-2	
cpd10515	Fe2+	Fe	2	
cpd15756	Myristoyllipoteichoic acid (n=24), linked, glucose substituted	C259H464O255P24	-24	
cpd15721	Diisohexadecanoylphosphatidylglycerophosphate	C38H74O13P2	-2	
cpd00867	Inositol 1-phosphate	C6H12O9P	-1	
cpd11430	fa1	C14H27O2	-1	
cpd11435	fa1coa	C35H59N7O17P3S	-3	
cpd00191	3-Oxopropanoate	C3H3O3	-1	
cpd00099	Cl-	Cl	-1	
cpd11592	gly-glu-L	C7H11N2O5	-1	
cpd00712	2-Dehydropantoate	C6H9O4	-1	
cpd15542	Phosphatidylglycerophosphate didodecanoyl	C30H58O13P2	-2	
cpd15417	CDP-1,2-didodecanoylglycerol	C36H63N3O15P2	-2	
cpd15718	Diisotetradecanoylphosphatidylglycerophosphate	C34H66O13P2	-2	
cpd00047	Formate	CHO2	-1	
cpd11547	4-methyl-3-hydroxy-pentanoyl-ACP	C17H31N2O9PRS	-1	
cpd11546	4-methyl-3-oxo-pentanoyl-ACP	C17H29N2O9PRS	-1	
cpd02843	D-erythro-imidazol-glycerol-phosphate	C6H10N2O6P	-1	
cpd00114	IMP	C10H12N4O8P	-1	
cpd08301	2-C-methyl-D-erythritol2-4-cyclodiphosphate	C5H10O9P2	-2	
cpd08615	1-Hydroxy-2-methyl-2-butenyl 4-diphosphate	C5H10O8P2	-2	
cpd11225	3-4-dihydroxy-2-butanone4-phosphate	C4H8O6P	-1	
cpd00199	4-Oxobutanoate	C4H5O3	-1	
cpd00281	GABA	C4H9NO2	0	
cpd15757	Stearoyllipoteichoic acid (n=24), linked, glucose substituted	C267H480O255P24	-24	
cpd00039	L-Lysine	C6H15N2O2	1	
cpd02124	2-Methylacetoacetyl-CoA	C26H39N7O18P3S	-3	
cpd11438	fa4	C15H29O2	-1	
cpd15686	CDP-1,2-diisopentadecanoylglycerol	C42H75N3O15P2	-2	
cpd00434	4-Aminobutanal	C4H10NO	1	
cpd00293	N-Acetyl-D-glucosamine 6-phosphate	C8H15NO9P	-1	
cpd15764	Palmitoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C311H544N24O255P24	-24	
cpd15239	Hexadecenoyl-ACP	C27H49N2O8PRS	-1	
cpd15326	1-hexadec-9-enoyl-sn-glycerol 3-phosphate	C19H36O7P	-1	
cpd15525	1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate	C35H64O8P	-1	
cpd00103	PRPP	C5H10O14P3	-3	
cpd00477	N-Acetyl-L-glutamate	C7H9NO5	-2	
cpd03451	SHCHC	C11H10O6	-2	
cpd00017	S-Adenosyl-L-methionine	C15H23N6O5S	1	
cpd00146	Carbamoylphosphate	CH3NO5P	-1	
cpd00242	H2CO3	CHO3	-1	
cpd12227	L-Glutamyl-tRNA-Glu	C15H19N6O6R	0	
cpd11912	tRNA-Glu	C10H12N5O3R	0	
cpd15769	Isotetradecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C307H536N24O255P24	-24	
cpd11433	fa12	C17H33O2	-1	
cpd01012	Cd2+	Cd	2	
cpd01262	Amylotriose	C18H32O16	0	
cpd11478	(R)-3-Hydroxybutanoyl-[acyl-carrier protein]	C15H27N2O9PRS	-1	
cpd11488	Acetoacetyl-ACP	C15H25N2O9PRS	-1	
cpd00128	Adenine	C5H5N5	0	
cpd03847	Myristic acid	C14H27O2	-1	
cpd02968	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl- D-alanine	C41H61N9O28P2	-4	
cpd00286	Undecaprenylphosphate	C55H90O4P	-1	
cpd02552	n-acetylglutamyl-phosphate	C7H10NO8P	-2	
cpd11537	13-methyl-3-oxo-tetra-decanoyl-ACP	C26H47N2O9PRS	-1	
cpd11538	13-methyl-3-hydroxy-tetra-decanoyl-ACP	C26H49N2O9PRS	-1	
cpd01716	3-Dehydroshikimate	C7H7O5	-1	
cpd00383	Shikimate	C7H9O5	-1	
cpd03122	(S)-Hydroxyhexanoyl-CoA	C27H43N7O18P3S	-3	
cpd03125	(2E)-Hexenoyl-CoA	C27H41N7O17P3S	-3	
cpd11482	(R)-3-Hydroxydecanoyl-[acyl-carrier protein]	C21H39N2O9PRS	-1	
cpd11487	3-oxodecanoyl-acp	C21H37N2O9PRS	-1	
cpd15546	Phosphatidylglycerophosphate dihexadec-9-enoyl	C38H70O13P2	-2	
cpd15418	CDP-1,2-dihexadec-9-enoylglycerol	C44H75N3O15P2	-2	
cpd00214	Palmitate	C16H31O2	-1	
cpd15268	Octadecanoyl-ACP	C29H55N2O8PRS	-1	
cpd15329	1-octadecanoyl-sn-glycerol 3-phosphate	C21H42O7P	-1	
cpd00531	Hg2+	Hg	2	
cpd15767	Isoheptadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C313H548N24O255P24	-24	
cpd15749	Isoheptadecanoyllipoteichoic acid (n=24), linked, unsubstituted	C121H236O135P24	-24	
cpd00182	Adenosine	C10H13N5O4	0	
cpd00019	S-Adenosyl-homocysteine	C14H20N6O5S	0	
cpd00387	ADPglucose	C16H23N5O15P2	-2	
cpd00089	Glucose-1-phosphate	C6H12O9P	-1	
cpd00296	dGMP	C10H13N5O7P	-1	
cpd00277	Deoxyguanosine	C10H13N5O4	0	
cpd03211	15-cis-Phytoene	C40H64	0	
cpd00357	TTP	C10H14N2O14P3	-3	
cpd00283	Geranyldiphosphate	C10H18O7P2	-2	
cpd00668	ALCTT	C5H7O4	-1	
cpd03487	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-L-lysyl-D-alanyl-D-alanine	C94H153N8O26P2	-3	
cpd03488	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutaminyl-L-lysyl-D-alanyl-D-alanine	C94H155N9O25P2	-2	
cpd03114	3-Oxopalmitoyl-CoA	C37H61N7O18P3S	-3	
cpd04122	Aminoacetaldehyde	C2H6NO	1	
cpd11588	gly-pro-L	C7H12N2O3	0	
cpd00129	L-Proline	C5H8NO2	-1	
cpd02862	UDPMurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)	C40H62N9O26P2	-3	
cpd00760	2-Methylbutyryl-CoA	C26H41N7O17P3S	-3	
cpd14703	S-(2-Methylbutanoyl)-dihydrolipoamide-E	C13H25NO2S2	0	
cpd11591	Gly-Met	C7H14N2O3S	0	
cpd11496	4-methyl-3-oxo-hexanoyl-ACP	C18H31N2O9PRS	-1	
cpd11497	4-methyl-3-hydroxy-hexanoyl-ACP	C18H33N2O9PRS	-1	
cpd00078	Succinyl-CoA	C25H36N7O19P3S	-4	
cpd02465	tetrahydrodipicolinate	C7H7NO4	-2	
cpd02724	N-Succinyl-L-2-amino-6-oxopimelate	C11H12NO8	-3	
cpd00311	Guanosine	C10H13N5O5	0	
cpd00120	Butyryl-CoA	C25H39N7O17P3S	-3	
cpd03123	3-Oxohexanoyl-CoA	C27H41N7O18P3S	-3	
cpd15294	Tetradecenoyl-ACP	C25H45N2O8PRS	-1	
cpd15330	1-tetradec-7-enoyl-sn-glycerol 3-phosphate	C17H32O7P	-1	
cpd15543	Phosphatidylglycerophosphate ditetradecanoyl	C34H66O13P2	-2	
cpd00027	D-Glucose	C6H12O6	0	
cpd00179	Maltose	C12H22O11	0	
cpd15269	octadecenoate	C18H33O2	-1	
cpd15274	Octadecenoyl-CoA	C39H65N7O17P3S	-3	
cpd03200	Manninotriose	C18H32O16	0	
cpd03198	Melibiose	C12H22O11	0	
cpd02691	2-methyl-3-hydroxy-butyryl-CoA	C26H41N7O18P3S	-3	
cpd02125	Tiglyl-CoA	C26H39N7O17P3S	-3	
cpd15771	Anteisopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C309H540N24O255P24	-24	
cpd15352	2-Demethylmenaquinone 8	C50H70O2	0	
cpd15353	2-Demethylmenaquinol 8	C50H72O2	0	
cpd00295	dGDP	C10H13N5O10P2	-2	
cpd03126	(2E)-Hexadecenoyl-CoA	C37H61N7O17P3S	-3	
cpd03113	(S)-3-Hydroxyhexadecanoyl-CoA	C37H63N7O18P3S	-3	
cpd11550	6-methyl-3-oxo-heptanoyl-ACP	C19H33N2O9PRS	-1	
cpd11551	6-methyl-3-hydroxy-heptanoyl-ACP	C19H35N2O9PRS	-1	
cpd00154	Xylose	C5H10O5	0	
cpd00058	Cu2+	Cu	2	
cpd01914	L-Methionine S-oxide	C5H11NO3S	0	
cpd15673	1-isotetradecanoyl-sn-glycerol 3-phosphate	C17H34O7P	-1	
cpd01133	Stachyose	C24H42O21	0	
cpd00793	Thiamine phosphate	C12H17N4O4PS	0	
cpd11541	15-methyl-3-oxo-hexa-decanoyl-ACP	C28H51N2O9PRS	-1	
cpd11542	15-methyl-3-hydroxy-hexa-decanoyl-ACP	C28H53N2O9PRS	-1	
cpd04097	Pb	Pb	2	
cpd02333	Quinolinate	C7H3NO4	-2	
cpd03128	Decanoyl-CoA	C31H51N7O17P3S	-3	
cpd03117	3-Oxododecanoyl-CoA	C33H53N7O18P3S	-3	
cpd15719	Diisopentadecanoylphosphatidylglycerophosphate	C36H70O13P2	-2	
cpd00223	Glycerate	C3H5O4	-1	
cpd00448	D-Glyceraldehyde	C3H6O3	0	
cpd02851	AICAR	C9H14N4O8P	-1	
cpd00946	Undecaprenyl diphospho N-acetyl-glucosamine	C63H103NO12P2	-2	
cpd11466	Myristoyl-ACP	C25H47N2O8PRS	-1	
cpd00064	Ornithine	C5H13N2O2	1	
cpd02083	CoproporphyrinogenIII	C36H40N4O8	-4	
cpd00791	ProtoporphyrinogenIX	C34H38N4O4	-2	
cpd15717	Dianteisoheptadecanoylphosphatidylglycerophosphate	C40H78O13P2	-2	
cpd00485	D-Mannose1-phosphate	C6H12O9P	-1	
cpd00235	D-mannose-6-phosphate	C6H12O9P	-1	
cpd00241	dGTP	C10H13N5O13P3	-3	
cpd00073	Urea	CH4N2O	0	
cpd15238	Hexadecenoyl-CoA	C37H61N7O17P3S	-3	
cpd15237	hexadecenoate	C16H29O2	-1	
cpd15758	Isoheptadecanoyllipoteichoic acid (n=24), linked, glucose substituted	C265H476O255P24	-24	
cpd00202	DMAPP	C5H10O7P2	-2	
cpd11526	7-methyl-3-hydroxy-octanoyl-ACP	C20H37N2O9PRS	-1	
cpd11525	7-methyl-3-oxo-octanoyl-ACP	C20H35N2O9PRS	-1	
cpd00118	Putrescine	C4H14N2	2	
cpd00683	Dihydropteroate	C14H13N6O3	-1	
cpd00330	Dihydrofolate	C19H19N7O6	-2	
cpd03120	(S)-Hydroxyoctanoyl-CoA	C29H47N7O18P3S	-3	
cpd03130	(2E)-Octenoyl-CoA	C29H45N7O17P3S	-3	
cpd00830	4-Hydroxy-2-oxoglutarate	C5H4O6	-2	
cpd01974	4-Hydroxy-L-glutamate	C5H8NO5	-1	
cpd00481	Isobutyryl-CoA	C25H39N7O17P3S	-3	
cpd02700	S-(2-Methylpropionyl)-dihydrolipoamide	C12H23NO2S2	0	
cpd11517	14-methyl-3-hydroxy-hexa-decanoyl-ACP	C28H53N2O9PRS	-1	
cpd11516	14-methyl-3-oxo-hexa-decanoyl-ACP	C28H51N2O9PRS	-1	
cpd00738	phosphoserine	C3H7NO6P	-1	
cpd15770	Isopentadecanoyllipoteichoic acid (n=24), linked, N-acetyl-D-glucosamine	C309H540N24O255P24	-24	
cpd14507	Peptide-L-methionine (R)-S-oxide	C6H10N2O3R2S	0	
cpd12237	Peptide-L-methionine	C6H10N2O2R2S	0	
cpd01217	Xanthosine	C10H12N4O6	0	
cpd02295	1-4-Dihydroxy-2-naphthoate	C11H7O4	-1	
cpd03524	10-Formyl-THF-L-glutamate	C25H27N8O10	-3	
cpd00731	Ala-Ala	C6H12N2O3	0	
cpd00117	D-Alanine	C3H7NO2	0	
cpd00246	Inosine	C10H12N4O5	0	
cpd00860	S-Succinyldihydrolipoamide	C12H20NO4S2	-1	
cpd03119	3-Oxodecanoyl-CoA	C31H49N7O18P3S	-3	
cpd01335	Octanoyl-CoA	C29H47N7O17P3S	-3	
cpd00254	Mg	Mg	2	
cpd10516	fe3	Fe	3	
cpd08625	5-Hydroxyisourate	C5H4N4O4	0	
cpd01567	(R)-Allantoin	C4H6N4O3	0	
cpd01092	Allantoin	C4H6N4O3	0	
cpd02431	1-Pyrroline-5-carboxylate	C5H6NO2	-1	
cpd04539	2-Amino-3-oxo-4-phosphonooxybutyrate	C4H7NO7P	-1	
cpd08449	3-Amino-2-oxopropyl phosphate	C3H8NO5P	0	
cpd02414	L-2-Amino-6-oxopimelate	C7H10NO5	-1	
cpd01101	Carbamate	CH2NO2	-1	
cpd02211	L-2-Amino-acetoacetate	C4H7NO3	0	
cpd01298	Aminoacetone	C3H8NO	1	
cpd09027	5-Hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylate	C5H5N4O5	-1	
cpd02522	2-Aminoadipate 6-semialdehyde	C6H11NO3	0	
cpd00352	delta1-Piperideine-6-L-carboxylate	C6H8NO2	-1	
cpd00922	delta1-Piperideine-2-carboxylate	C6H8NO2	-1	
cpd02074	2-Oxo-6-aminocaproate	C6H11NO3	0	
cpd15723	Dianteisoheptadecanoylphosphatidylglycerol	C40H78O10P	-1	
cpd15695	Diisoheptadecanoylphosphatidylethanolamine	C39H78NO8P	0	
cpd15722	Diisoheptadecanoylphosphatidylglycerol	C40H78O10P	-1	
cpd00034	Zn2+	Zn	2	
cpd15432	core oligosaccharide lipid A	C176H307N2O100P4	-7	
cpd15696	Dianteisoheptadecanoylphosphatidylethanolamine	C39H78NO8P	0	
cpd01997	Dimethylbenzimidazole	C9H10N2	0	
cpd00557	Siroheme	C42H36FeN4O16	-8	
cpd03422	Cobinamide	C48H73CoN11O8	3	
cpd15793	Stearoylcardiolipin (B. subtilis)	C81H156O17P2	-2	
cpd00030	Mn2+	Mn	2	
cpd15540	Phosphatidylglycerol dioctadecanoyl	C42H82O10P	-1	
cpd15794	Isoheptadecanoylcardiolipin (B. subtilis)	C77H148O17P2	-2	
cpd00063	Ca2+	Ca	2	
cpd12370	apo-ACP	HOR	0	
cpd15795	Anteisoheptadecanoylcardiolipin (B. subtilis)	C77H148O17P2	-2	
cpd11416	Biomass		0	
cpd00166	Calomide	C72H101CoN18O17P	1	
cpd00149	Co2+	Co	2	
cpd15533	phosphatidylethanolamine dioctadecanoyl	C41H82NO8P	0	
